Index,Width,Length,Treatment,Genotype,Plant,Repeat
58,2.191576,7.2106,Predawn,blus1-3,2,2
59,0.616528,10.928368,Predawn,blus1-3,2,2
12,2.419736,11.266888,Predawn,blus1-3,1,2
13,2.401384,9.17352,Predawn,blus1-3,1,2
14,2.927888,9.622896,Predawn,blus1-3,1,2
15,2.174712,9.939344,Predawn,blus1-3,1,2
16,3.112648,6.899608,Predawn,blus1-3,1,2
17,3.074704,10.03036,Predawn,blus1-3,1,2
18,2.697992,11.967488,Predawn,blus1-3,1,2
19,1.925968,10.134272,Predawn,blus1-3,1,2
20,2.380552,10.559592,Predawn,blus1-3,1,2
21,2.667984,10.75948,Predawn,blus1-3,1,2
22,2.273168,12.131416,Predawn,blus1-3,1,2
23,3.313528,8.256416,Predawn,blus1-3,1,2
24,4.0734,10.428648,UV,blus1-3,3,2
25,2.106264,7.672624,UV,blus1-3,3,2
26,2.123624,12.63808,UV,blus1-3,3,2
27,3.451416,8.452832,UV,blus1-3,3,2
28,2.48,7.77604,UV,blus1-3,3,2
29,3.65428,11.525552,UV,blus1-3,3,2
30,3.699912,8.750184,UV,blus1-3,3,2
31,2.295488,8.348176,UV,blus1-3,3,2
32,3.9618,12.085536,UV,blus1-3,3,2
33,3.909968,9.118464,UV,blus1-3,3,2
34,3.310056,10.269928,UV,blus1-3,3,2
35,2.640208,10.665984,UV,blus1-3,3,2
36,0.679768,10.862152,Predawn,Col-0,2,2
37,0.659184,11.809016,Predawn,Col-0,2,2
38,1.36896,7.555816,Predawn,Col-0,2,2
39,1.16188,8.204584,Predawn,Col-0,2,2
40,1.178248,7.630712,Predawn,Col-0,2,2
41,1.878104,6.035824,Predawn,Col-0,2,2
42,1.038376,8.179288,Predawn,Col-0,2,2
43,1.76576,5.795512,Predawn,Col-0,2,2
44,2.192568,12.189448,Predawn,Col-0,2,2
45,0.56916,11.75644,Predawn,Col-0,2,2
46,0.754168,10.635232,Predawn,Col-0,2,2
47,2.33988,6.705672,Predawn,Col-0,2,2
48,2.095352,10.086904,Predawn,Col-0,3,2
49,1.23256,14.875784,Predawn,Col-0,3,2
50,1.336224,9.97332,Predawn,Col-0,3,2
51,2.330704,13.54204,Predawn,Col-0,3,2
52,1.0168,10.271664,Predawn,Col-0,3,2
53,0.517824,10.132784,Predawn,Col-0,3,2
54,0.491288,12.170104,Predawn,Col-0,3,2
55,1.576288,9.424,Predawn,Col-0,3,2
56,1.442864,11.507944,Predawn,Col-0,3,2
57,1.392272,8.131424,Predawn,Col-0,3,2
58,0.645544,10.85,Predawn,Col-0,3,2
59,1.307952,15.407,Predawn,Col-0,3,2
0,2.13528,15.17388,WL,Col-0,3,2
1,1.8228,12.666352,WL,Col-0,3,2
2,2.803144,12.363296,WL,Col-0,3,2
3,2.781816,9.927688,WL,Col-0,3,2
4,2.4552,8.14804,WL,Col-0,3,2
5,3.217056,10.916216,WL,Col-0,3,2
6,1.9406,9.816336,WL,Col-0,3,2
7,2.89168,9.434416,WL,Col-0,3,2
8,2.786776,13.200048,WL,Col-0,3,2
9,4.441928,15.66988,WL,Col-0,3,2
10,3.441496,10.364416,WL,Col-0,3,2
11,3.000056,9.789552,WL,Col-0,3,2
12,2.93384,13.532616,WL,blus1-3,1,2
13,2.852744,9.3558,WL,blus1-3,1,2
14,2.36592,11.786696,WL,blus1-3,1,2
15,2.661784,17.59312,WL,blus1-3,1,2
16,1.70624,9.599584,WL,blus1-3,1,2
17,0.957032,13.149952,WL,blus1-3,1,2
18,2.512984,6.436592,WL,blus1-3,1,2
19,2.75156,14.168984,WL,blus1-3,1,2
20,1.827264,7.920376,WL,blus1-3,1,2
21,2.061128,13.223112,WL,blus1-3,1,2
22,3.185808,15.144368,WL,blus1-3,1,2
23,2.70692,9.500632,WL,blus1-3,1,2
24,3.58112,10.400128,UV,Col-0,2,2
25,3.404048,11.922848,UV,Col-0,2,2
26,2.623096,11.952856,UV,Col-0,2,2
27,2.640704,7.790672,UV,Col-0,2,2
28,3.156792,10.317792,UV,Col-0,2,2
29,2.28408,11.83704,UV,Col-0,2,2
30,3.57492,11.928056,UV,Col-0,2,2
31,1.888272,7.493568,UV,Col-0,2,2
32,3.284016,10.741624,UV,Col-0,2,2
33,2.227288,11.7056,UV,Col-0,2,2
34,2.495376,12.729096,UV,Col-0,2,2
35,1.724344,7.240112,UV,Col-0,2,2
36,2.950952,12.52152,UV,Col-0,1,2
37,1.704256,10.051936,UV,Col-0,1,2
38,1.94804,10.792464,UV,Col-0,1,2
39,2.356496,11.729408,UV,Col-0,1,2
40,3.409752,10.525864,UV,Col-0,1,2
41,2.348064,11.968232,UV,Col-0,1,2
42,3.282032,9.453016,UV,Col-0,1,2
43,3.08388,12.998424,UV,Col-0,1,2
44,3.38644,9.440368,UV,Col-0,1,2
45,2.746848,13.863696,UV,Col-0,1,2
46,3.80184,11.933016,UV,Col-0,1,2
47,3.00948,9.989192,UV,Col-0,1,2
0,0.610576,14.829904,WL,Col-0,4,2
1,1.223632,9.163848,WL,Col-0,4,2
2,0.659184,12.646264,WL,Col-0,4,2
3,0.74524,12.770016,WL,Col-0,4,2
4,1.055736,12.38016,WL,Col-0,4,2
5,0.962984,10.895136,WL,Col-0,4,2
6,1.045568,16.135872,WL,Col-0,4,2
7,0.834768,12.617992,WL,Col-0,4,2
8,0.87296,9.655384,WL,Col-0,4,2
9,0.37324,9.656872,WL,Col-0,4,2
10,0.565688,11.166944,WL,Col-0,4,2
11,0.744744,12.772248,WL,Col-0,4,2
12,3.125048,8.286424,UV,Col-0,3,2
13,3.418928,11.441728,UV,Col-0,3,2
14,4.61156,12.84392,UV,Col-0,3,2
15,2.610696,11.2468,UV,Col-0,3,2
16,2.175456,11.880936,UV,Col-0,3,2
17,2.5668,7.532752,UV,Col-0,3,2
18,3.255,12.47316,UV,Col-0,3,2
19,2.643928,11.47,UV,Col-0,3,2
20,2.433376,11.697664,UV,Col-0,3,2
21,2.21588,7.3842,UV,Col-0,3,2
22,3.553344,10.663752,UV,Col-0,3,2
23,2.307392,9.468144,UV,Col-0,3,2
24,3.578888,12.873184,UV,blus1-3,2,2
25,3.706112,9.324552,UV,blus1-3,2,2
26,2.68956,7.383456,UV,blus1-3,2,2
27,2.557376,12.942624,UV,blus1-3,2,2
